date,low_vol_prob,high_vol_prob,state,open,high,low,close,volume,simple_ret,log_ret
2020-12-31,0.999809072922182,0.00019092707784150518,0,55.47,56.1,55.11,55.5,2663490,0.0005408328826392,0.0005406866852456
2021-01-04,0.9995588382957624,0.000441161704133184,0,55.82,56.1214,53.65,54.04,4853062,-0.0263063063063063,-0.0266585076603907
2021-01-05,0.9992870486449363,0.0007129513551958296,0,54.14,56.17,54.0,55.8,3112791,0.0325684678016284,0.0320493562952671
2021-01-06,0.9991162790619403,0.0008837209379084374,0,56.95,59.21,56.55,58.43,6208448,0.0471326164874552,0.0460555871790804
2021-01-07,0.9996456293132457,0.00035437068674426216,0,59.0,59.77,58.105,58.51,4437561,0.0013691596782474,0.001368223233799
2021-01-08,0.9997995808743751,0.00020041912545833282,0,58.37,58.86,57.75,58.21,4063547,-0.0051273286617671,-0.0051405185165005
2021-01-11,0.9998065244699715,0.0001934755302411358,0,57.7,58.95,57.25,58.86,3455867,0.0111664662429136,0.0111045815216826
2021-01-12,0.9997014651718609,0.00029853482802215706,0,59.32,61.21,59.0,61.04,6227116,0.0370370370370369,0.0363676441708747
2021-01-13,0.9997874201404509,0.00021257985932232693,0,60.75,61.31,59.66,60.03,3236261,-0.0165465268676276,-0.0166849497124497
2021-01-14,0.9997988112590077,0.00020118874121238754,0,60.21,60.5,59.42,59.65,3578778,-0.0063301682492087,-0.0063502887198266
2021-01-15,0.9996730981409798,0.00032690185883090347,0,58.62,58.82,57.13,57.31,6692942,-0.0392288348700753,-0.0400190199802789
2021-01-19,0.9998466794363943,0.00015332056380612343,0,57.76,58.2,56.33,57.55,4919337,0.0041877508288254,0.0041790066042453
2021-01-20,0.999887803131441,0.00011219686863237798,0,57.87,58.63,57.23,58.57,3724400,0.0177237185056473,0.0175684849337993
2021-01-21,0.9999075210307632,9.247896931330518e-05,0,58.51,58.77,57.31,57.56,3442039,-0.017244323032269,-0.0173947380825238
