timestamp,open,high,low,close,volume
2025-04-15,84590.36000000,86491.40000000,83592.77000000,83629.78000000,6461.77024421
2025-04-14,83733.07000000,85818.06000000,83655.27000000,84590.36000000,7247.02343319
2025-04-13,85271.02000000,86092.99000000,83010.00000000,83733.07000000,3904.15929557
2025-04-12,83379.64000000,85909.97000000,82765.26000000,85271.01000000,3972.49282052
2025-04-11,79552.34000000,84299.00000000,78919.94000000,83380.47000000,9964.68703141
2025-04-10,82593.15000000,82730.93000000,78387.24000000,79552.34000000,11876.12778689
2025-04-09,76258.80000000,83583.35000000,74553.01000000,82594.75000000,23584.94464084
2025-04-08,79140.02000000,80849.98000000,76167.35000000,76251.64000000,14917.02351692
2025-04-07,78370.15000000,81223.67000000,74420.69000000,79140.01000000,26706.52930797
2025-04-06,83505.88000000,83773.58000000,77058.99000000,78370.75000000,11014.85947730
2025-04-05,83859.78000000,84238.35000000,82346.61000000,83498.25000000,2836.42920662
2025-04-04,83178.68000000,84720.67000000,81643.54000000,83860.16000000,14593.03092888
2025-04-03,82490.10000000,83953.45000000,81177.70000000,83174.33000000,11800.91106566
2025-04-02,85166.92000000,88530.00000000,82283.01000000,82490.08000000,16748.28262337
2025-04-01,82534.31000000,85566.53000000,82403.32000000,85170.37000000,9130.97692565
2025-03-31,82379.98000000,83920.80000000,81265.16000000,82534.32000000,6887.94694226
2025-03-30,82624.06000000,83508.98000000,81538.88000000,82379.98000000,2472.72302228
2025-03-29,84381.81000000,84584.13000000,81608.99000000,82616.83000000,3194.24303663
2025-03-28,87214.07000000,87498.15000000,83533.40000000,84381.80000000,10031.80008987
2025-03-27,86926.01000000,87790.12000000,85784.00000000,87217.48000000,6904.09386105
2025-03-26,87432.82000000,88304.10000000,85850.00000000,86926.01000000,6885.71986041
2025-03-25,87518.09000000,88584.34000000,86321.97000000,87427.88000000,10153.98312373
2025-03-24,86092.95000000,88804.64000000,85533.06000000,87523.62000000,13107.50391644
2025-03-23,83852.06000000,86128.99000000,83804.67000000,86092.94000000,3467.46945277
2025-03-22,84061.96000000,84517.75000000,83659.69000000,83852.03000000,2108.51345069
2025-03-21,84183.41000000,84809.72000000,83100.00000000,84061.96000000,6257.63558757
2025-03-20,86877.97000000,87492.87000000,83596.75000000,84183.42000000,9880.31696275
2025-03-19,82699.53000000,87045.45000000,82535.53000000,86877.96000000,13056.03519886
2025-03-18,84011.39000000,84029.67000000,81125.00000000,82698.76000000,7316.63296603
2025-03-17,82562.50000000,84758.46000000,82416.98000000,84011.40000000,7785.97733364
2025-03-16,84351.45000000,85092.35000000,81969.44000000,82562.57000000,4059.89765099
2025-03-15,83989.86000000,84690.43000000,83612.24000000,84351.46000000,2331.92028578
2025-03-14,81071.50000000,85318.61000000,80771.17000000,83980.49000000,10857.45703924
2025-03-13,83659.45000000,84310.80000000,79890.00000000,81073.43000000,10506.80043483
2025-03-12,82911.81000000,84442.69000000,80572.21000000,83659.43000000,12617.22058200
2025-03-11,78548.18000000,83600.00000000,76555.00000000,82914.51000000,17096.37980265
2025-03-10,80708.21000000,84033.66000000,77389.00000000,78544.71000000,21375.10120997
2025-03-09,86206.64000000,86480.00000000,80000.00000000,80699.17000000,7565.44749561
2025-03-08,86753.30000000,86863.38000000,85200.00000000,86206.69000000,3023.24786650
2025-03-07,89915.02000000,91280.00000000,84608.27000000,86756.98000000,27137.20223020
